precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÎNGU LUCICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PITĂROIU DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PĂUN MIHAI-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","GHEORGHE ILIE-COSTELUŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","PÎRVUICĂ MARIUS-ALIN-FORȚA DREPTEI-voturi","PĂSĂRICĂ MARIN-PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi"
17,DOLJ,"BIBLIOTECA ORĂȘENEASCĂ ANTON PANN",210,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:28",1340,1330,1,6,3,715,706,0,6,3,702,13,1455,740,35,208,38,404,17,0
17,DOLJ,"GRĂDINIŢA NR. 1 FILIAŞI",211,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:27",1768,1757,1,4,6,972,962,0,4,6,955,17,1900,928,38,287,36,569,25,0
17,DOLJ,"GRĂDINIŢA NR. 2 FILIAŞI",212,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:29:44",1839,1807,3,7,22,804,777,0,7,20,757,43,1900,695,43,170,21,511,6,6
17,DOLJ,"GRĂDINIŢA NR. 3 FILIAŞI",213,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:19:40",1176,1166,0,9,1,631,621,0,9,1,607,24,1300,669,50,191,27,324,11,4
17,DOLJ,"LICEUL TEHNOLOGIC DIMITRIE FILIŞANU CORP C 2",214,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:08:08",1617,1610,0,7,0,767,760,0,7,0,731,36,1700,933,23,248,19,435,6,0
17,DOLJ,"PRIMĂRIA ORAŞULUI FILIAŞI",215,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:06:18",1550,1543,0,6,1,847,840,0,6,1,822,25,1700,853,43,245,36,470,22,6
17,DOLJ,"ŞCOALA BÎLTA",217,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:53",907,896,0,4,7,585,574,0,4,7,563,22,1100,515,26,207,17,309,4,0
17,DOLJ,"ŞCOALA GIMNAZIALĂ FILIAŞI",216,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:18",1342,1324,2,10,6,770,754,0,10,6,737,29,1500,734,33,183,35,438,44,4
17,DOLJ,"SCOALA GIMNAZIALĂ FRATOŞTIŢA - CORP 1",218,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:34",1272,1269,0,3,0,734,731,0,3,0,698,36,1400,666,13,303,9,353,0,20
17,DOLJ,"ŞCOALA GIMNAZIALĂ FRATOŞTITA - CORP 2",219,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:00",747,740,0,5,2,397,390,0,5,2,372,25,900,503,9,171,9,182,1,0
17,DOLJ,"ŞCOALA RĂCARII DE SUS",220,"ORAŞ FILIAŞI",70414,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:05",941,933,1,6,1,541,534,0,6,1,527,14,1100,559,22,176,13,313,3,0
