precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP BOGDAN-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMUŢA AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",233,"BĂIŢA DE SUB CODRU",107118,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:00",285,252,0,29,4,235,202,0,29,4,221,10,321,89,116,105
26,MARAMUREŞ,"CĂMINUL CULTURAL",232,"BĂIŢA DE SUB CODRU",107118,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:36:01",1311,1196,0,92,23,1004,889,0,92,23,959,45,1293,289,527,432
