precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRUYNSEELS RAMONA-IOANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUŢĂ GEORGE-CRISTIAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","HATMANU IULIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","GHIDĂNAC FLORIN-BLOCUL SUVERANIST ROMÂN-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGOIŢĂ GHEORGHE-LIVIU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PODARU DAN-NICULAE-PARTIDUL ECOLOGIST ROMÂN-voturi","ANDREI FLORIN-MIRCEA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","TUDORACHE DANIEL-voturi"
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",19,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:40:37",1433,1422,5,6,0,669,663,0,6,0,653,16,1568,899,38,253,10,1,217,34,11,13,76
44,"Sector 1","LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”",16,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:52:10",1498,1484,5,9,0,724,715,1,8,0,695,20,1650,932,47,316,15,1,184,37,8,4,83
44,"Sector 1","LICEUL TEORETIC ”JEAN MONNET”",65,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:13:32",1306,1165,20,121,0,546,536,1,9,0,536,10,1300,754,36,191,14,2,219,41,4,4,25
44,"Sector 1","LICEUL TEORETIC ”JEAN MONNET”",64,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 13:06:15",1578,1428,135,15,0,711,689,7,15,0,699,12,1750,1039,45,280,25,1,246,43,13,10,36
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",1,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:50:31",1966,1908,40,18,0,660,642,0,18,0,642,12,2177,1517,58,229,9,1,261,34,10,3,37
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",2,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:48:15",1505,1482,15,8,0,797,789,0,8,0,790,7,1700,896,67,292,23,4,310,45,3,7,39
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",4,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:47:54",1024,971,46,7,0,474,467,0,7,0,460,14,1130,656,33,187,14,0,176,14,12,3,21
44,"Sector 1","LICEUL TEORETIC ”NICOLAE IORGA”",3,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:54:11",1282,1263,6,12,1,653,640,0,12,1,640,13,1440,777,50,240,16,1,262,33,5,5,28
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”ALEXANDRU COSTESCU” NR.182",142,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:38:46",1975,1969,0,6,0,987,981,0,6,0,956,25,2200,1219,54,318,32,0,415,70,12,7,48
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”ALEXANDRU COSTESCU” NR.182",141,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 13:47:50",1678,1664,12,2,0,776,774,0,2,0,764,10,1840,1064,49,303,12,5,264,55,10,4,62
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”ALEXANDRU COSTESCU” NR.182",143,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 15:25:40",1502,1495,1,5,1,698,692,1,4,1,685,0,1680,980,66,285,15,0,221,46,8,2,42
44,"Sector 1","ȘCOALA GIMNAZIALĂ ”ALEXANDRU COSTESCU” NR.182",144,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 17:45:19",1608,1555,10,43,0,657,613,1,43,0,450,11,1711,1062,66,227,20,2,6,55,6,11,57
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”ELENA VĂCĂRESCU”",99,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:41:11",1185,1126,52,6,1,456,449,0,6,1,440,11,1280,824,37,169,20,0,152,32,6,5,19
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”GEO BOGZA”",123,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:05:35",845,832,4,9,0,457,448,0,9,0,448,9,930,473,30,177,12,1,155,29,4,6,34
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”GEO BOGZA”",121,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:46:48",1020,1016,0,4,0,493,489,0,4,0,478,15,1130,637,51,145,19,0,171,34,8,9,41
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”GEO BOGZA”",122,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:41:48",1092,1082,4,6,0,521,515,0,6,0,505,13,1210,689,41,193,13,3,161,30,11,5,48
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”HERĂSTRĂU”",42,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:18:51",2232,2044,171,17,0,999,980,2,17,0,993,6,2441,1442,47,379,28,2,406,64,16,19,32
44,"Sector 1","ŞCOALA GIMNAZIALĂ ”HERĂSTRĂU”",46,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:41:30",1567,1532,22,13,0,787,774,0,13,0,773,14,1710,923,48,281,14,0,315,50,10,10,45
