precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"ŞCOALA GENERALA ANDRĂŞEŞTI",95,ANDRĂŞEŞTI,92872,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:46:19",1413,1370,2,23,18,829,788,0,23,18,786,42,1500,672,39,71,256,360,60
23,IALOMIŢA,"ŞCOALA ORBOEŞTI",96,ANDRĂŞEŞTI,92872,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:50:08",265,244,1,7,13,178,158,0,7,13,166,10,309,133,5,33,45,73,10
