precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FIRCA VALENTIN-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","GOJE IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CIULIN GHEORGHE-ION-PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"CLĂDIRE PRIMĂRIE - FOSTUL SEDIU CAP",258,GRĂDINARI,52990,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:46",794,771,0,6,17,460,437,0,6,17,443,17,869,409,143,186,114
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ”PAVEL BORDAN” GRĂDINARI",257,GRĂDINARI,52990,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:33:15",870,837,0,14,19,523,490,0,14,19,510,13,924,401,181,321,8
