precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BENZAR IOAN-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BEJERA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:11",333,329,0,2,2,171,167,0,2,2,165,6,400,229,73,92
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:36",314,305,3,2,4,186,180,0,2,4,176,10,352,166,64,112
37,TIMIŞ,"CĂMINUL CULTURAL ŞTIUCA",572,ŞTIUCA,158804,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:27",980,965,1,8,6,612,597,1,8,6,596,16,1000,388,272,324
37,TIMIŞ,"CĂMINUL CULTURAL ZGRIBEŞTI",575,ŞTIUCA,158804,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:47",182,171,0,4,7,119,108,0,4,7,116,3,205,86,48,68
