precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÂJÂILĂ ADRIAN-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRE MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:19:46",1201,1137,0,64,0,906,842,0,64,0,888,18,1220,314,454,434
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",57,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:00:59",1119,1051,3,62,3,882,817,0,62,3,853,14,1140,273,560,293
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",59,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:10",958,915,2,39,2,724,683,0,39,2,695,27,1000,250,404,291
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",58,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:37",895,842,0,52,1,700,647,0,52,1,676,2,930,244,426,250
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 POPEŞTI",63,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:37",856,821,0,35,0,698,663,0,35,0,680,18,928,230,406,274
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 2 MIHĂILEŞTI-DRĂGĂNESCU",61,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:46",372,356,0,16,0,298,282,0,16,0,291,7,400,102,192,99
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 3 NOVACI",62,"ORAŞ MIHĂILEŞTI",104136,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:24",926,885,0,39,2,701,660,0,39,2,683,18,970,269,395,288
