precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOBRESCU COSMIN-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi"
31,PRAHOVA,"CAMIN CULTURAL",575,TĂTARU,135681,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:16",288,263,0,3,22,235,210,0,3,22,231,4,296,61,30,201
31,PRAHOVA,"CAMIN CULTURAL",576,TĂTARU,135681,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:49",565,512,0,23,30,409,356,0,23,30,401,8,561,152,86,315
