precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NICA BOGDAN-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SĂRARU ALEXANDRU-FLORIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VOLOSEVICI ANDREI-LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","ENESCU RĂZVAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TOMA-COCHINESCU CRISTINA-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","BECIU NARCIS-CĂTĂLIN-PARTIDUL NAȚIONAL DE CENTRU-voturi","DORU MARIAN-PARTIDUL PATRIOȚILOR-voturi","DOLNICEANU SIMONA-ELENA-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","URZEALĂ IONUŢ-MIHAIL-PARTIDUL ECOLOGIST ROMÂN-voturi","POLIŢEANU MIHAI-LAURENŢIU-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:53",1072,1067,3,2,0,476,474,0,2,0,454,22,1200,724,107,39,84,53,11,2,4,37,8,109
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:25",1570,1563,0,7,0,636,629,0,7,0,615,21,1700,1064,167,38,83,66,14,6,10,61,12,158
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:44:37",897,882,6,9,0,382,373,0,9,0,364,18,1000,618,97,33,81,43,10,2,1,34,7,56
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,5,PART,PRCNCT,P,P_SV,"2024-06-10 16:32:55",1247,1239,0,8,0,505,497,0,8,0,488,14,1400,898,110,31,107,44,14,0,5,48,10,119
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",42,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:42",1367,1360,0,2,5,555,548,0,2,5,528,25,1500,947,80,53,97,63,17,2,8,57,17,134
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",44,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:14:58",1299,1294,1,3,1,471,467,0,3,1,452,19,1400,928,88,34,120,34,7,1,4,45,2,117
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",43,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:46:22",1205,1198,0,6,1,466,459,0,6,1,450,16,1300,834,64,34,86,62,14,1,1,34,17,137
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",41,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:50:36",1333,1327,0,6,0,520,514,0,6,0,490,26,1400,884,93,34,117,51,14,1,5,31,9,135
31,PRAHOVA,"CASA CORPULUI DIDACTIC",52,"MUNICIPIUL PLOIEŞTI",130534,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:34:08",791,786,0,5,0,335,330,0,5,0,326,9,900,565,79,27,52,36,5,0,2,40,6,79
31,PRAHOVA,"CASA CORPULUI DIDACTIC",51,"MUNICIPIUL PLOIEŞTI",130534,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:36:04",1073,1068,0,5,0,445,440,0,5,0,437,8,1100,655,95,45,60,56,9,4,9,60,5,94
31,PRAHOVA,"COLEGIUL DE ARTĂ ”CARMEN SYLVA”",69,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:11",786,780,1,5,0,349,344,0,5,0,343,6,900,551,85,17,67,51,5,8,5,27,5,73
31,PRAHOVA,"COLEGIUL DE ARTĂ ”CARMEN SYLVA”",68,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:29",878,870,0,8,0,352,344,0,8,0,339,13,1000,648,76,9,56,48,9,4,3,38,5,91
31,PRAHOVA,"COLEGIUL NAŢIONAL ”ALEXANDRU IOAN CUZA”",4,"MUNICIPIUL PLOIEŞTI",130534,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:23:11",1022,1009,4,9,0,445,436,0,9,0,417,28,1100,655,106,28,67,70,10,4,3,28,11,90
31,PRAHOVA,"COLEGIUL NAŢIONAL ”ION LUCA CARAGIALE”",9,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:46",1431,1416,0,15,0,501,486,0,15,0,488,13,1500,999,81,35,96,70,16,4,19,47,16,104
31,PRAHOVA,"COLEGIUL NAŢIONAL ”ION LUCA CARAGIALE”",10,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:28",1115,1108,0,7,0,440,433,0,7,0,425,15,1200,760,113,27,92,42,25,5,5,43,6,67
31,PRAHOVA,"COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",16,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:48",641,629,6,5,1,280,274,0,5,1,274,6,700,420,45,17,39,60,12,6,5,32,6,52
31,PRAHOVA,"COLEGIUL NAŢIONAL ”NICHITA STĂNESCU”",145,"MUNICIPIUL PLOIEŞTI",130534,3,PART,PRCNCT,P,P_SV,"2024-06-11 14:03:11",822,822,0,0,0,306,306,0,0,0,290,16,900,594,64,22,57,23,3,3,0,33,5,80
31,PRAHOVA,"COLEGIUL NAŢIONAL ”NICHITA STĂNESCU”",148,"MUNICIPIUL PLOIEŞTI",130534,6,PART,PRCNCT,P,P_SV,"2024-06-10 22:05:33",1229,1219,0,10,0,497,487,0,10,0,477,20,1300,803,82,30,109,50,12,3,7,43,9,132
31,PRAHOVA,"COLEGIUL NAŢIONAL ”NICHITA STĂNESCU”",146,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:08",893,885,1,7,0,360,353,0,7,0,348,12,1000,640,39,23,66,48,12,10,3,26,9,112
31,PRAHOVA,"COLEGIUL NAŢIONAL ”NICHITA STĂNESCU”",147,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:03",884,883,1,0,0,348,348,0,0,0,335,13,1000,652,55,26,61,39,9,5,5,27,9,99
31,PRAHOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ”REGINA MARIA” (FOST COLEGIUL NAȚIONAL ”JEAN MONNET”)”",53,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,P,P_SV,"2024-06-10 22:34:00",1102,1076,18,8,0,502,494,0,8,0,487,15,1200,698,108,32,76,88,10,5,2,51,11,104
