precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I - IV SÎNTĂ MĂRIA",271,"SÂNMIHAIU ALMAŞULUI",142676,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:56:45",310,305,0,4,1,209,204,0,4,1,180,29,350,141,19,48,33,73,5,2
33,SĂLAJ,"SCOALA PRIMARĂ BERCEA",270,"SÂNMIHAIU ALMAŞULUI",142676,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:06:19",139,134,0,5,0,80,75,0,5,0,69,11,150,70,6,5,7,47,3,1
33,SĂLAJ,"SEDIUL CONSILIU LOCAL SÎNMIHAIU ALMAŞULUI",269,"SÂNMIHAIU ALMAŞULUI",142676,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:07:35",824,808,1,11,4,486,471,0,11,4,461,25,879,393,101,56,58,224,20,2
