precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRACHE GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","MANEA MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRĂDINIŢA DE COPII CU PROGRAM NORMAL NR. 1 BECIU",96,BECIU,155083,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:02",737,691,1,26,19,560,514,1,26,19,547,13,765,205,132,415
36,TELEORMAN,"GRĂDINIŢA DE COPII CU PROGRAM NORMAL NR.2 SMÂRDAN",97,BECIU,155083,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:53",450,427,0,16,7,347,324,0,16,7,332,15,480,133,68,264
