precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DAMIAN MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","PÎRVULESCU ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TEREGOVA",336,TEREGOVA,54270,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:36",1233,1120,2,38,73,857,745,1,38,73,851,6,1239,382,587,264
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”SF. DIMITRIE” TEREGOVA",337,TEREGOVA,54270,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:02",1124,1055,0,22,47,757,688,0,22,47,733,24,1164,407,501,232
11,CARAŞ-SEVERIN,"OFICIUL PRIMĂRIEI RUSCA",338,TEREGOVA,54270,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:03",999,936,0,10,53,675,612,0,10,53,664,11,1033,358,492,172
