precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VĂRĂDIA",351,VĂRĂDIA,54500,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:21:10",725,619,1,83,22,498,393,0,83,22,468,25,696,203,222,202,33,11
11,CARAŞ-SEVERIN,"CLĂDIREA ADMINISTRAŢIEI LOCALE",352,VĂRĂDIA,54500,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:26:18",528,492,0,30,6,344,308,0,30,6,332,12,528,184,129,177,11,15
