precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL PHRALIPE AL ROMILOR-voturi","BĂDILA IOAN-voturi"
1,ALBA,"PRIMĂRIA COMUNEI CÎLNIC",218,CÂLNIC,4106,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:33:24",1231,1186,2,24,19,788,745,0,24,19,730,58,1240,452,38,131,519,8,26,8
1,ALBA,"ŞCOALA PRIMARĂ DEAL",219,CÂLNIC,4106,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:42:38",316,298,1,7,10,240,222,1,7,10,233,7,400,160,5,50,153,0,1,24
