precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MATEI LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","COJOCARU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"SCOALA GIMNAZIALA MIROSLOVESTI",560,MIROSLOVEŞTI,98051,2,PART,PRCNCT,P,P_SV,"2024-06-10 20:30:57",1529,1476,1,17,35,869,817,0,17,35,838,31,1658,789,301,537
24,IAŞI,"SCOALA GIMNAZIALA SOCI",561,MIROSLOVEŞTI,98051,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:07:25",1030,995,2,5,28,582,549,0,5,28,568,14,1100,518,140,428
24,IAŞI,"SCOALA GIMNAZIALA VERSENI",562,MIROSLOVEŞTI,98051,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:39:39",919,901,1,8,9,474,456,1,8,9,443,31,1000,526,145,298
