precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"SCOALA GENERALA",388,RĂZBOIENI,123969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:58",165,153,0,3,9,165,153,0,3,9,156,9,300,135,9,94,4,49
29,NEAMŢ,"SCOALA GENERALA",390,RĂZBOIENI,123969,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:03:41",297,270,3,2,22,216,191,1,2,22,196,17,334,118,50,79,9,58
29,NEAMŢ,"SCOALA GENERALA CU CLASELE I-IV NR. 3",389,RĂZBOIENI,123969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:22",475,449,0,6,20,252,226,0,6,20,241,11,552,300,46,115,13,67
29,NEAMŢ,"SCOALA GENERALA CU CLASELE I-VIII",387,RĂZBOIENI,123969,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:09",591,565,0,5,21,397,372,0,5,20,382,15,598,197,47,180,31,124
