precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FELECAN IOAN-GABRIEL-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:41:14",304,273,0,9,22,179,148,0,9,22,175,4,316,137,0,65,100,10,0
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL BEUDIU",208,NUŞENI,34075,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:48",460,408,2,8,42,320,270,0,8,42,313,7,500,180,9,282,6,11,5
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELEAC",209,NUŞENI,34075,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:25:12",280,257,0,6,17,190,167,0,6,17,180,10,280,90,3,106,1,64,6
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL RUSU DE SUS",211,NUŞENI,34075,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:41:09",227,215,1,5,6,169,158,0,5,6,166,3,240,71,12,130,7,16,1
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI NUŞENI",207,NUŞENI,34075,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:21",747,649,1,33,64,516,419,0,33,64,499,17,760,244,13,259,56,138,33
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MALIN",210,NUŞENI,34075,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:45",352,320,3,5,24,251,222,0,5,24,244,7,380,129,16,139,80,7,2
