precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂDUREANU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","DORCIOMAN CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","OLTEANU NICOLAE-FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","HUBLEA MARIUS-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ COTEȘTI-GODENI, NR.198",348,GODENI,16551,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:18:36",1391,1377,1,1,12,845,832,0,1,12,826,19,1500,655,427,254,130,15
3,ARGEŞ,"ȘCOALA GODENI, NR.26",347,GODENI,16551,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:18:26",966,952,0,3,11,616,602,0,3,11,606,10,1063,447,233,62,295,16
