precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLIN CĂLIN-IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","VELCEA NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","VOINOPOL TITUS-VIOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SOARE MARIAN-GABRIEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SIMA GEORGEL-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"CASA DE CULTURĂ ŞTEFĂNEŞTI",169,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:06",1087,1075,1,10,1,547,536,0,10,1,535,12,1189,642,69,350,37,11,68
3,ARGEŞ,"LICEUL TEHNOLOGIC ”DINU BRĂTIANU”",174,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:04:36",1927,1906,11,8,2,928,918,0,8,2,897,31,2099,1171,149,563,49,11,125
3,ARGEŞ,"LICEUL TEHNOLOGIC ”DINU BRĂTIANU”",175,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:52:00",1279,1274,0,4,1,581,576,0,4,1,564,17,1405,824,67,425,34,4,34
3,ARGEŞ,"NIDEC MOTOR CORPORATION ROMANIA S.A.",178,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:19:10",2110,2093,12,5,0,1038,1031,2,5,0,984,54,2322,1284,286,370,138,21,169
3,ARGEŞ,"ȘCOALA GENERALĂ ”CONSTANTIN BRÂNCOVEANU”",176,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:06:27",1379,1365,3,9,2,721,710,0,9,2,681,34,1502,786,121,440,42,33,45
3,ARGEŞ,"ŞCOALA GENERALĂ ”CONSTANTIN BRÂNCOVEANU” VALEA MARE",177,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:19:27",1824,1819,0,3,2,890,885,0,3,2,868,20,2008,1120,147,523,93,9,96
3,ARGEŞ,"ŞCOALA GENERALĂ NR.1 ŞTEFĂNEŞTI, CORP C (GRĂDINIŢĂ)",173,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:08:45",972,971,0,1,0,529,528,0,1,0,511,18,1071,542,69,320,42,10,70
3,ARGEŞ,"ŞCOALA PRIMARĂ ENCULEŞTI",171,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:47:08",467,461,0,6,0,245,239,0,6,0,239,6,510,265,12,165,31,2,29
3,ARGEŞ,"ŞCOALA PRIMARĂ ŞTEFĂNEŞTI",170,"ORAŞ ŞTEFĂNEŞTI",13392,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:53",1433,1418,3,6,6,766,755,0,6,5,733,33,1562,796,81,491,54,45,62
3,ARGEŞ,"ŞCOALA ”RADU GOLESCU” GOLEȘTI",172,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:13:25",1018,1010,0,6,2,462,454,0,6,2,433,28,1113,652,58,280,42,22,31
