precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"ŞCOALA GENERALĂ CU CLASELE I-IV RĂSIMNICEA",192,RĂDULEŞTI,101243,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:15:49",231,197,0,30,4,156,122,0,30,4,147,9,221,65,123,24
23,IALOMIŢA,"SCOALA GIMNAZIALA RADULESTI",191,RĂDULEŞTI,101243,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:55:11",778,660,0,94,24,574,456,0,94,24,554,20,748,170,465,89
