precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","ZAINEA SERGIU-FLORIAN-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"LICEUL TEORETIC „EMIL RACOVIȚĂ”",21,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:00",1347,1311,4,10,22,510,478,0,10,22,467,43,1500,990,101,66,2,34,4,72,6,2,1,5,6,81,9,60,0,18
26,MARAMUREŞ,"LICEUL TEORETIC SANITAR",53,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:13",1326,1311,7,8,0,598,590,0,8,0,588,10,1500,902,95,87,2,35,3,87,4,1,3,8,1,117,7,108,4,26
26,MARAMUREŞ,"REGISTRU AUTO ROMÂN, REPREZENTANȚA MARAMUREȘ",28,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:07",1283,1273,0,10,0,425,415,0,10,0,414,11,1400,975,138,48,2,27,4,19,0,0,1,3,2,65,22,55,0,28
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",49,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:40",1421,1400,4,17,0,626,609,0,17,0,617,9,1600,974,129,83,4,49,12,54,10,4,0,7,1,131,7,95,10,21
26,MARAMUREŞ,"SALA SPORTURILOR „LASCĂR PANĂ”",48,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:55",1275,1266,0,8,1,516,507,0,8,1,505,11,1400,884,110,75,3,43,4,50,5,3,1,1,5,108,3,71,4,19
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:09:36",1455,1435,0,9,11,609,589,0,9,11,600,9,1600,991,151,85,5,43,7,47,3,7,4,7,3,103,8,102,5,20
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”",23,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:22:16",1352,1324,0,10,18,544,516,0,10,18,529,15,1500,956,129,84,5,35,5,32,9,1,4,3,0,95,7,93,4,23
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",38,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:22:54",1319,1309,2,8,0,569,561,0,8,0,558,8,1497,931,136,93,5,24,3,8,7,0,2,5,0,107,7,136,1,24
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IVASIUC”",37,"MUNICIPIUL BAIA MARE",106318,4,PART,PRCNCT,P,P_SV,"2024-06-10 12:23:47",1343,1335,0,7,1,461,453,0,7,1,450,11,1500,1039,106,80,2,29,7,14,0,0,2,4,2,76,11,103,1,13
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",13,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:42",1363,1323,9,31,0,657,625,1,31,0,644,13,1500,843,129,86,3,36,4,65,8,3,1,6,4,123,13,138,6,19
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",12,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:10:55",907,895,1,11,0,418,407,0,11,0,407,11,1000,582,79,63,4,32,3,51,6,0,0,4,1,75,4,75,3,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",11,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:37",1037,1031,2,4,0,457,453,0,4,0,448,9,1100,643,81,64,3,35,13,50,1,1,2,0,1,84,4,98,3,8
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",10,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:18",928,920,4,4,0,398,394,0,4,0,393,5,1040,642,70,45,2,36,4,46,2,3,3,1,0,78,8,82,3,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",39,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:12",1366,1359,0,7,0,562,555,0,7,0,551,11,1500,938,144,95,3,26,3,15,4,1,0,7,3,87,9,127,6,21
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",40,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:44",1336,1328,0,8,0,503,495,0,8,0,491,12,1500,997,121,102,3,24,8,23,5,6,0,1,2,76,8,90,3,19
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DIMITRIE CANTEMIR”",41,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:47:14",1432,1427,0,5,0,547,542,0,5,0,534,13,1600,1053,155,88,2,31,0,19,1,2,2,4,4,111,7,85,2,21
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",3,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:48:11",1670,1649,10,11,0,810,799,0,11,0,789,21,1805,995,174,120,5,64,2,53,5,1,3,8,8,184,15,108,6,33
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „DR. VICTOR BABEȘ”",4,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:05",1812,1794,3,14,1,852,837,0,14,1,841,11,1900,1048,174,153,9,76,4,57,6,2,1,4,5,153,12,155,7,23
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",16,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:59",1109,1091,8,10,0,489,479,0,10,0,474,13,1200,713,86,79,1,40,2,79,2,4,0,2,3,68,6,89,5,8
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „GEORGE COȘBUC”",17,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:47:07",1002,988,3,11,0,443,432,0,11,0,415,14,1100,671,77,60,8,37,5,43,4,0,4,3,0,73,6,75,6,14
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",32,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:47",839,831,0,8,0,319,311,0,8,0,318,1,1000,681,88,51,4,17,3,22,6,3,2,3,3,48,6,55,0,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",34,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:07",1149,1134,0,15,0,433,418,0,15,0,416,17,1300,867,147,45,0,16,1,16,4,2,1,3,8,70,13,63,5,22
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „ION LUCA CARAGIALE”",33,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:38:57",1288,1280,0,7,1,488,480,0,7,1,473,15,1400,912,96,101,2,25,7,46,1,2,2,4,2,69,9,80,6,21
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",67,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:25",1658,1642,6,9,1,835,825,0,9,1,811,24,1900,1065,164,146,6,47,5,86,6,1,1,1,2,186,7,129,2,22
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",65,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:24:08",1101,1089,3,9,0,523,514,0,9,0,504,8,1200,677,79,60,9,19,7,64,7,1,4,1,6,123,14,77,6,27
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",66,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:59:40",1018,986,17,11,4,463,448,0,11,4,457,6,1100,637,102,85,6,25,4,45,4,1,0,7,0,87,1,81,0,9
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „LUCIAN BLAGA”",68,"MUNICIPIUL BAIA MARE",106318,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:05",1516,1492,14,10,0,593,583,0,10,0,586,7,1700,1107,140,112,6,36,6,25,6,1,0,6,2,118,4,105,1,18
