precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ION MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","OARGĂ FLOREA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARBU MARIAN-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢANDĂRĂ MIHAELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CĂMINUL CULTURAL SAT LILIECI",210,SINEŞTI,105026,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:31:08",891,875,2,14,0,476,462,0,14,0,472,4,951,475,343,49,50,30
23,IALOMIŢA,"CĂMINUL CULTURAL SITUATĂ ÎN SATUL SINEŞTI, SINEŞTI",209,SINEŞTI,105026,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:13",1302,1273,0,29,0,824,795,0,29,0,809,15,1400,576,679,18,61,51
