precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"CĂMIN CULTURAL",637,SUATU,59657,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:50",221,213,0,4,4,134,126,0,4,4,120,14,240,106,15,21,43,4,36,1
13,CLUJ,"SEDIUL ADMINISTRATIV AL PRIMARIEI SUATU",636,SUATU,59657,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:29",994,970,1,3,20,689,666,0,3,20,633,56,1094,405,51,359,39,65,48,71
