precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAŞCA CLAUDIU-DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","BONCIDAI CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP CĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
33,SĂLAJ,"CĂMIN CULTURAL",243,PERICEI,142284,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:43:36",552,532,0,9,11,311,291,0,9,11,294,17,600,289,25,43,226
33,SĂLAJ,"CENTRU DE INFORMARE ȘI MARKETING TURISTIC",244,PERICEI,142284,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:11",128,124,0,4,0,58,54,0,4,0,58,0,150,92,32,10,16
33,SĂLAJ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.1 PERICEI",241,PERICEI,142284,3,PART,PRCNCT,P,P_SV,"2024-06-13 13:38:09",1098,1072,3,3,20,629,606,0,3,20,606,23,1189,500,88,499,19
33,SĂLAJ,"PRIMĂRIA COMUNEI PERICEI",242,PERICEI,142284,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:55",1218,1201,1,0,16,772,756,0,0,16,760,12,1321,549,50,682,28
