precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MORAR PAUL-MĂDĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOLDOVAN SAVETA-PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"PRIMĂRIA VECHE CRUCENI",402,FOENI,157004,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:08",490,472,0,13,5,263,245,0,13,5,247,16,511,248,19,228
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ FOENI",401,FOENI,157004,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:10:12",1038,993,2,13,30,587,543,1,13,30,566,21,1100,513,62,504
