precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÁLL SZABOLCS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"LICEUL TEHNOLOGIC SOVER ELEK",154,JOSENI,84558,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:43:29",1378,1353,6,0,19,735,715,1,0,19,719,16,1500,765,719
21,HARGHITA,"LICEUL TEHNOLOGIC SOVER ELEK",153,JOSENI,84558,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:24",1394,1372,0,0,22,760,738,0,0,22,746,14,1500,740,746
21,HARGHITA,"LICEUL TEHNOLOGIC SOVER ELEK",152,JOSENI,84558,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:46:18",1182,1155,4,2,21,651,628,0,2,21,641,10,1300,649,641
21,HARGHITA,"SCOALA PRIMARA GAÁL TAMÁS, BORZONT",155,JOSENI,84558,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:01:32",712,699,5,0,8,381,373,0,0,8,367,14,900,519,367
