precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞ SĂLIŞTE",521,ZAM,92177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:11:37",109,101,1,7,0,65,57,1,7,0,65,0,117,52,7,2,13,40,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL GODINEŞTI",522,ZAM,92177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:44:46",101,93,0,8,0,77,69,0,8,0,76,1,103,26,10,2,31,30,1,2
22,HUNEDOARA,"CĂMINUL CULTURAL POGĂNEȘTI",523,ZAM,92177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:31:15",204,192,0,12,0,120,108,0,12,0,116,4,224,104,30,3,26,48,1,8
22,HUNEDOARA,"CĂMINUL CULTURAL SĂLCIVA",524,ZAM,92177,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:28:42",404,390,2,12,0,256,244,0,12,0,239,17,413,156,34,2,59,99,38,7
22,HUNEDOARA,"CĂMINUL CULTURAL ZAM",520,ZAM,92177,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:43",521,497,2,22,0,363,340,1,22,0,353,10,575,212,48,5,123,149,4,24
