precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GÎRCOV",207,GÂRCOV,125588,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:12:23",1210,1154,0,8,48,828,772,0,8,48,785,43,1275,447,454,180,23,85,39,4
30,OLT,"ŞCOALA GENERALĂ URSA",208,GÂRCOV,125588,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:11:42",670,641,0,5,24,427,398,0,5,24,409,16,709,284,115,77,25,132,7,53
