precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂOGARU CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GUŞMAN COSTINEL-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"CĂMIN CULTURAL BREZNITA-MOTRU",121,BREZNIŢA-MOTRU,110740,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:33",853,713,0,79,61,657,517,0,79,61,644,13,846,189,338,306
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII FĂUROAIA",122,BREZNIŢA-MOTRU,110740,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:45:22",307,248,0,33,26,208,149,0,33,26,205,3,285,77,160,45
