precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:02",1726,1704,2,13,7,813,793,0,13,7,783,30,1845,1032,182,203,181,7,80,73,57
37,TIMIŞ,"CĂMINUL CULTURAL SÂNANDREI",551,SÂNANDREI,158653,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:21",1551,1535,3,12,1,866,853,0,12,1,848,18,1700,834,290,67,194,34,42,23,198
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ SÂNANDREI",552,SÂNANDREI,158653,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:14:19",1422,1421,0,1,0,630,629,0,1,0,604,26,1600,970,214,85,154,14,13,16,108
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ SÂNANDREI",553,SÂNANDREI,158653,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:27:35",1321,1315,2,4,0,710,706,0,4,0,699,11,1400,690,216,70,205,23,23,13,149
37,TIMIŞ,"ŞCOALA PRIMARĂ COVACI",555,SÂNANDREI,158653,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:41",882,868,2,8,4,472,460,0,8,4,465,7,1000,528,190,35,172,13,4,18,33
