precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTIN TOMA-PARTIDUL NAȚIONAL LIBERAL-voturi","VERDEŞ MIRELA-ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","APETRI NICUŞOR-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"GRĂDINIŢA SĂLĂTRUC",214,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:31",668,662,0,6,0,325,319,0,6,0,315,10,700,375,270,36,9
4,BACĂU,"LICEUL TEHNOLOGIC DĂRMĂNEȘTI",210,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:48:56",1496,1485,4,4,3,657,649,1,4,3,636,21,1600,943,498,121,17
4,BACĂU,"PRIMĂRIA DĂRMĂNEȘTI",216,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:02",1283,1272,0,8,3,577,566,0,8,3,546,31,1400,823,414,122,10
4,BACĂU,"SC MECANO ELECTRIC SERVICE SRL",211,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:57",760,754,0,6,0,366,360,0,6,0,355,11,800,434,270,71,14
4,BACĂU,"SCOALA CU CLASELE I-IV DĂRMĂNEASCA",217,"ORAŞ DĂRMĂNEŞTI",22166,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:04",688,676,1,7,4,332,321,0,7,4,316,16,700,368,268,35,13
4,BACĂU,"ŞCOALA CU CLASELE I-VIII PLOPU",219,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:41",1278,1252,2,5,19,517,493,0,5,19,496,21,1400,883,368,92,36
4,BACĂU,"ŞCOALA CU CLASELE L-IV PĂGUBENI",215,"ORAŞ DĂRMĂNEŞTI",22166,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:49:05",306,296,0,10,0,173,163,0,10,0,153,20,400,227,104,33,16
4,BACĂU,"SCOALA LAPOȘ",218,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:21:08",787,775,1,4,7,407,396,0,4,7,391,16,900,493,353,30,8
4,BACĂU,"ŞCOALA NR.2",208,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:19:39",1324,1317,1,2,4,627,621,0,2,4,586,41,1500,873,485,83,18
4,BACĂU,"ŞCOALA NR.2",209,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:05",909,900,0,9,0,456,447,0,9,0,427,29,1000,544,351,69,7
4,BACĂU,"ŞCOALA NR.3 DĂRMĂNEȘTI",212,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:25",639,633,0,6,0,277,271,0,6,0,259,18,700,423,210,48,1
4,BACĂU,"ŞCOALA NR.3 DĂRMĂNEȘTI",213,"ORAŞ DĂRMĂNEŞTI",22166,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:29:14",1120,1112,0,8,0,505,497,0,8,0,394,111,1200,695,261,118,15
