precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TĂRNICERU ILIE-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","URSACHE DANIELA-voturi"
29,NEAMŢ,"CAMIN CULTURAL",442,TAŞCA,124563,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:46:53",1359,1337,1,5,16,757,736,0,5,16,718,39,1500,743,134,584
29,NEAMŢ,"PUNCT DE INFORMARE NEAGRA",443,TAŞCA,124563,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:31:31",409,402,0,0,7,409,402,0,0,7,391,18,800,391,92,299
