precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PEK IOSIF-voturi"
5,BIHOR,"CĂMIN CULTURAL GIRIŞU DE CRIŞ",398,"GIRIŞU DE CRIŞ",29467,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:24:04",1261,1224,1,24,12,854,818,0,24,12,806,48,1340,486,14,235,80,124,21,5,16,306,5
5,BIHOR,"CĂMIN CULTURAL TĂRIAN",400,"GIRIŞU DE CRIŞ",29467,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:41:59",974,961,0,9,4,651,638,0,9,4,562,70,1055,423,14,184,50,58,9,15,6,224,2
5,BIHOR,"GRĂDINIȚA TĂRIAN",399,"GIRIŞU DE CRIŞ",29467,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:22",1010,981,3,17,9,642,616,0,17,9,622,20,1078,436,285,116,32,41,8,15,3,104,18
