precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMŞA MIHAI-MUGUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POIENAR FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","PETREUŞ VASILE-IUSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BRUMAR VASILE-PARTIDUL MIȘCAREA POPULARĂ-voturi","PERŢA IOAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"FOSTUL SEDIUL AL PRIMĂRIEI",261,BOTIZA,107485,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:11",1958,1890,0,11,57,1127,1059,0,11,57,1100,27,1947,820,78,698,149,24,151
26,MARAMUREŞ,"ŞCOALA PRIMARĂ VALEA SASULUI",262,BOTIZA,107485,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:59:44",285,267,0,7,11,188,170,0,7,11,188,0,300,112,31,103,28,17,9
