precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JURA IOAN-DIMITRIE-PARTIDUL NAȚIONAL LIBERAL-voturi","TEOREAN CLAUDIU-DAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
2,ARAD,"CĂMINUL CULTURAL SOCODOR",362,SOCODOR,12126,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:27",1008,939,0,21,48,676,607,0,21,48,656,20,1054,378,537,119
2,ARAD,"PRIMĂRIA COMUNEI SOCODOR",361,SOCODOR,12126,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:14",969,893,0,30,46,689,613,0,30,46,666,23,984,295,554,112
