precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"CĂMIN CULTURAL",444,"GURA VADULUI",133688,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:11",625,616,0,4,5,352,343,0,4,5,335,17,800,448,49,216,23,47
31,PRAHOVA,"CĂMINUL CULTURAL, NR. 212",443,"GURA VADULUI",133688,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:19",1093,1090,0,0,3,610,607,0,0,3,593,17,1077,467,156,311,56,70
