precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CĂMIN CULTURAL BERINDU",630,SÂNPAUL,59586,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:11:51",358,342,0,11,5,255,244,0,6,5,245,10,372,117,46,123,12,48,16
13,CLUJ,"CĂMIN CULTURAL ȘARDU",632,SÂNPAUL,59586,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:21",343,328,0,9,6,238,223,0,9,6,226,12,361,123,58,44,9,24,91
13,CLUJ,"MAGAZINUL COOPERAȚIEI",633,SÂNPAUL,59586,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:20",179,166,0,12,1,95,82,0,12,1,93,2,186,91,20,42,13,13,5
13,CLUJ,"ȘCOALA GENERALĂ MIHĂIEȘTI",631,SÂNPAUL,59586,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:24:30",211,207,0,3,1,132,128,0,3,1,124,8,229,97,33,56,9,17,9
13,CLUJ,"SEDIUL PRIMĂRIEI",629,SÂNPAUL,59586,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:24:15",739,710,3,12,14,502,476,0,12,14,462,39,784,282,173,58,78,33,120
