precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCURTU LIVIU-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","COJOCARU IRINA-PARTIDUL SOCIAL DEMOCRAT-voturi","GOLU CLAUDIU-MĂDĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MIHUŢESCU CONSTANTIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
20,GORJ,"CĂMINUL CULTURAL BUMBEŞTI-PIŢIC",171,BUMBEŞTI-PIŢIC,79362,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:49:23",1033,964,1,41,27,701,632,1,41,27,679,22,1100,399,26,239,405,4,5
20,GORJ,"GRĂDINIŢA CÂRLIGEI",172,BUMBEŞTI-PIŢIC,79362,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:38:50",190,158,0,28,4,130,98,0,28,4,127,3,200,70,5,36,84,1,1
20,GORJ,"ŞCOALA GENERALĂ POIENARI",173,BUMBEŞTI-PIŢIC,79362,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:40",571,535,0,22,14,410,374,0,22,14,399,11,605,195,5,148,238,7,1
