precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"GRĂDINIŢA PN VINGA",414,VINGA,12643,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:54",1678,1645,3,9,21,850,820,0,9,21,807,43,1820,970,29,245,62,294,29,148
2,ARAD,"PRIMĂRIA COMUNEI VINGA",412,VINGA,12643,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:39:06",913,887,1,15,10,500,474,1,15,10,474,26,1000,500,24,193,26,152,39,40
2,ARAD,"ŞCOALA GENERALĂ MAILAT",415,VINGA,12643,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:52:37",855,821,3,16,15,404,372,1,16,15,384,20,913,509,264,9,20,54,23,14
2,ARAD,"ŞCOALA GENERALĂ MĂNĂŞTUR",416,VINGA,12643,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:05:51",1004,988,3,5,8,568,554,1,5,8,507,38,1090,545,9,32,34,295,126,11
2,ARAD,"ŞCOALA GIMNAZIALĂ NR. 2 VINGA",413,VINGA,12643,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:35",1379,1362,2,11,4,635,618,2,11,4,583,52,1500,865,16,135,64,217,54,97
