precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DIACONU CONSTANTIN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTEFAN MIRABELA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL ZGUBEA",356,ROŞIILE,172698,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:32",271,257,0,12,2,192,180,0,12,0,185,7,276,82,24,154,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ROŞIILE",354,ROŞIILE,172698,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:15",879,807,1,40,31,603,532,0,40,31,544,19,885,319,341,187,16
40,VÂLCEA,"ŞCOALA PRIMARĂ ROMANEŞTI",355,ROŞIILE,172698,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:03:06",834,783,0,29,22,490,439,0,29,22,466,23,860,366,163,297,6
