precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOŢU AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","BURDUŞA DOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BULIMEJ RODICA-PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"CASA OBŞTII TULNICI",310,TULNICI,178117,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:25:34",1165,1142,1,16,6,600,578,0,16,6,556,27,1260,677,478,32,46
41,VRANCEA,"CASA OBŞTII TULNICI",309,TULNICI,178117,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:02:30",1151,1138,0,9,4,595,582,0,9,4,570,25,1256,661,498,19,53
41,VRANCEA,"ŞCOALA GIMNAZIALĂ COZA - SALA 1",311,TULNICI,178117,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:31",653,636,0,9,8,353,336,0,9,8,340,13,700,347,265,22,53
41,VRANCEA,"ŞCOALA LEPŞA",312,TULNICI,178117,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:31",405,388,1,15,1,203,187,0,15,1,195,8,430,227,164,15,16
