precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GUŞATU DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","STĂNESCU IONUŢ-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"CAMIN CULTURAL",151,CEZIENI,126102,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:25",177,171,0,3,3,115,109,0,3,3,109,6,187,72,73,36
30,OLT,"CENTRUL SOCIAL",152,CEZIENI,126102,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:08",253,238,0,11,4,253,238,0,11,4,188,3,269,78,99,89
30,OLT,"SCOALA GIMANZIALA NICOLAE MARINEANU",150,CEZIENI,126102,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:50:04",953,861,2,48,42,734,643,1,48,42,720,14,990,256,368,352
