precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHIAŢĂ IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIAŢĂ IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRIUC VASILE-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","STICLEŢ ANDREI-TUDOREL-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMIN CULTURAL BOTOŞANA",238,BOTOŞANA,147161,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:50",1067,1048,2,2,15,657,640,0,2,15,643,14,1508,851,40,243,65,295
35,SUCEAVA,"SCOALA GIMNAZIALA CU CLASELE I-VIII BOTOSANA",237,BOTOŞANA,147161,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:27",1063,1045,1,3,14,636,619,0,3,14,622,14,800,164,41,274,43,264
