precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CODREANU IOAN-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BEŞLIU IOAN-DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL POJORÂTA",431,POJORÂTA,149931,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:55",1348,1334,0,3,11,896,882,0,3,11,876,20,1463,567,575,301
35,SUCEAVA,"CĂMINUL CULTURAL VALEA PUTNEI",432,POJORÂTA,149931,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:47",280,275,0,4,1,151,146,0,4,1,146,5,308,157,85,61
35,SUCEAVA,"ŞCOALA CU CLASELE I-IV POJORÎTA",430,POJORÂTA,149931,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:40",780,764,1,6,9,529,513,1,6,9,511,18,857,328,312,199
