precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURCUMAN ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","LENŢA CLAUDIA-LOREDANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHEORGHIU GINOVEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL RĂDENI",629,ROŞCANI,100344,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:43",593,587,0,4,2,396,390,0,4,2,388,8,600,204,206,13,169
24,IAŞI,"ȘCOALA PRIMARĂ ROȘCANI, NR. 1",630,ROŞCANI,100344,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:38",561,554,0,6,1,316,309,0,6,1,301,15,653,337,124,14,163
