precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SUBA MIREL-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","PAUL DORU-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
22,HUNEDOARA,"COOPERATIVA DE CONSUM BULZEȘTII DE JOS",326,"BULZEŞTII DE SUS",88920,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:53",157,107,0,49,1,139,89,0,49,1,135,4,171,32,52,83
22,HUNEDOARA,"PRIMĂRIA BULZEȘTII DE SUS SALA DE ȘEDINȚĂ",325,"BULZEŞTII DE SUS",88920,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:26:44",226,130,1,93,2,203,107,1,93,2,198,4,210,8,104,94
