precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:44:33",1885,1802,5,67,11,1299,1221,0,67,11,1265,34,2000,701,287,752,40,1,10,3,7,13,152
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:11:00",1885,1814,1,51,19,1366,1296,0,51,19,1295,43,2100,734,382,707,24,2,18,10,4,15,133
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:14:53",1836,1797,2,37,0,1166,1129,0,37,0,1128,38,2069,903,398,518,24,0,8,7,2,14,157
25,ILFOV,"LICEUL TEORETIC ”TRAIAN LALESCU”",151,BRĂNEŞTI,101298,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:56:24",1889,1873,1,15,0,1078,1063,0,15,0,1025,48,2050,972,141,713,27,7,6,9,8,25,89
25,ILFOV,"POLICLINICA JILAVA",246,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:20:06",1851,1807,3,38,3,1216,1175,0,38,3,1097,119,1979,763,146,782,65,6,5,8,3,25,57
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",45,"ORAŞ MĂGURELE",179409,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:17:42",2361,2316,10,29,6,1266,1231,0,29,6,1245,14,2500,1234,115,713,34,6,16,20,5,19,317
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",46,"ORAŞ MĂGURELE",179409,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:03:21",1302,1282,11,7,2,618,609,0,7,2,584,32,1400,782,71,351,19,2,9,12,6,8,106
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:31:57",1359,1331,16,8,4,749,734,3,8,4,710,39,1500,751,67,383,28,6,12,13,9,12,180
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:50",1526,1505,0,21,0,864,843,0,21,0,825,39,1715,851,89,550,54,10,12,9,8,17,76
25,ILFOV,"PROPRIETATE PRIVATĂ BACHAR DAVID-SAMUIL",241,JILAVA,179383,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:48:18",1647,1629,3,13,2,856,841,0,13,2,799,57,1798,942,108,533,88,3,9,12,6,12,28
25,ILFOV,"PROPRIETATE PRIVATĂ PUȘA HACK",102,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 01:08:36",1551,1524,10,17,0,720,703,0,17,0,712,8,1700,980,139,292,23,0,8,9,12,8,221
25,ILFOV,"PROPRIETATE PRIVATĂ: TUTUNARU GHEORGHE",33,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:49",509,490,0,14,5,267,248,0,14,5,255,12,558,291,35,168,10,0,3,2,16,4,17
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",175,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:30:08",1691,1668,8,15,0,723,708,0,15,0,714,9,1804,1081,72,228,27,5,35,7,7,14,319
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",174,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:30:59",1979,1938,18,19,4,785,762,0,19,4,754,31,2150,1365,83,347,58,9,30,17,7,11,192
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",172,CHIAJNA,179249,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:29:46",1715,1696,6,11,2,901,882,6,11,2,860,40,1889,988,132,465,52,5,24,11,6,19,146
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",173,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:34:54",1912,1873,9,29,1,957,927,0,29,1,931,26,2101,1144,111,420,53,10,31,19,12,11,264
25,ILFOV,"SALA DE SPORT ”ANDREEA ISĂRESCU”",112,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:53",1872,1833,25,10,4,911,897,0,10,4,881,30,2100,1189,93,568,58,5,10,14,10,29,94
25,ILFOV,"SALA DE SPORT CIOLPANI",179,CIOLPANI,101902,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:09:46",1911,1894,0,8,9,1132,1115,0,8,9,1065,67,2100,968,197,741,26,3,6,4,3,10,75
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA",162,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:36:07",1827,1814,0,13,0,1143,1130,0,13,0,1091,52,2000,857,103,699,36,7,28,6,10,19,183
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",165,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:52:27",1825,1799,5,20,1,1061,1040,0,20,1,1028,33,2000,939,137,553,36,4,33,10,6,14,235
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",166,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:58:45",2018,1977,26,15,0,549,534,0,15,0,538,11,2150,1601,76,151,58,5,31,10,2,14,191
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",164,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:38:23",1981,1960,6,15,0,1024,1008,1,15,0,993,31,2150,1126,118,489,63,10,32,19,4,17,241
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",163,CHIAJNA,179249,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:10:39",1972,1954,0,17,1,1068,1050,0,17,1,1045,23,2100,1032,109,567,33,5,32,6,9,15,269
25,ILFOV,"SALA DE SPORT OTOPENI",56,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:56:57",1746,1724,13,9,0,958,949,0,9,0,918,39,1900,942,78,555,31,8,28,33,2,16,167
25,ILFOV,"SALA DE SPORT OTOPENI",57,"ORAŞ OTOPENI",179481,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:35:14",1638,1618,0,20,0,927,907,0,20,0,884,43,1800,873,75,468,26,6,29,20,10,22,228
25,ILFOV,"SC ANYADE GYM CLASS SRL",9,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:41",1538,1513,14,10,1,633,622,0,10,1,627,6,1650,1017,55,227,21,5,16,10,9,8,276
25,ILFOV,"SC ANYADE GYM CLASS SRL",8,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:10:36",1645,1616,11,18,0,621,603,0,18,0,602,19,1799,1178,66,207,24,2,11,3,8,7,274
25,ILFOV,"SC ANYADE GYM CLASS SRL",10,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 07:47:34",1525,1493,12,19,1,635,615,0,19,1,605,30,1650,1015,54,252,15,3,11,9,3,8,250
25,ILFOV,"SC ANYADE GYM CLASS SRL",7,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:11:05",1249,1219,9,20,1,525,504,0,20,1,510,15,1350,825,53,225,20,2,7,8,0,7,188
25,ILFOV,"SC IRIMPEX COM SRL",101,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:24:07",483,464,1,18,0,356,338,0,18,0,343,1,500,144,71,239,10,0,1,1,0,2,19
25,ILFOV,"SC IRIMPEX COM SRL",100,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:42:57",1695,1674,1,14,6,1223,1203,0,14,6,1180,24,1800,577,152,940,12,0,7,11,3,5,50
25,ILFOV,"ŞCOALA COZIENI",226,GĂNEASA,103130,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:36:05",681,675,0,6,0,554,548,0,6,0,491,63,750,196,57,393,18,2,3,1,0,10,7
25,ILFOV,"SCOALA CU CLASELE I-IV",135,AFUMAŢI,100834,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:14:26",1482,1427,5,29,21,915,865,0,29,21,889,26,1575,660,85,575,38,2,63,11,6,19,90
25,ILFOV,"ŞCOALA DE 4 ANI",237,GRUIU,103513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:24:44",1575,1528,1,14,32,963,916,1,14,32,915,48,1700,737,92,655,37,4,2,8,2,12,103
25,ILFOV,"ŞCOALA DE 4 ANI",240,GRUIU,103513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:39",686,665,2,10,9,496,477,0,10,9,466,30,766,270,64,331,19,0,2,3,0,2,45
25,ILFOV,"ŞCOALA DE 8 ANI",239,GRUIU,103513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:07:35",1884,1839,3,16,26,1066,1026,1,16,23,1019,47,2000,934,132,678,54,1,10,10,6,14,114
25,ILFOV,"ŞCOALA DIN SATUL MERII PETCHII",255,NUCI,104421,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:57:09",866,780,0,35,51,696,610,0,35,51,651,45,900,204,92,305,24,4,12,11,7,23,173
25,ILFOV,"ŞCOALA DIN SATUL MICŞUNEŞTII-MOARĂ",256,NUCI,104421,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:15:18",1445,1308,0,64,73,1139,1002,0,64,73,1022,117,1442,303,100,632,32,3,6,16,5,30,198
25,ILFOV,"ŞCOALA GĂNEASA",225,GĂNEASA,103130,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:05:38",867,823,0,44,0,606,562,0,44,0,570,36,900,294,55,423,30,2,6,7,1,4,42
25,ILFOV,"ŞCOALA GENERALĂ DIN CARTIERUL BĂJENARI",149,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:47",1806,1791,1,14,0,983,969,0,14,0,919,64,2000,1017,122,608,40,3,12,8,10,17,99
25,ILFOV,"ŞCOALA GENERALĂ NR. 1",207,DĂRĂŞTI-ILFOV,102525,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:54:22",1232,1163,0,30,39,929,860,0,30,39,891,38,1380,451,155,595,19,0,4,5,1,6,106
25,ILFOV,"ŞCOALA GENERALĂ NR. 1",206,DĂRĂŞTI-ILFOV,102525,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:37:41",1118,1049,1,26,42,799,731,0,26,42,764,35,1100,301,157,451,10,5,3,3,1,5,129
25,ILFOV,"ȘCOALA GENERALĂ NR.1",131,AFUMAŢI,100834,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:52:13",763,724,2,23,14,517,480,0,23,14,490,26,800,283,50,344,15,0,31,2,1,10,37
25,ILFOV,"ŞCOALA GENERALĂ NR. 1 CU CLASELE V - VIII",132,AFUMAŢI,100834,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:40:40",1207,1134,4,33,36,812,743,0,33,36,777,35,1250,438,83,530,28,1,49,7,4,16,59
25,ILFOV,"ȘCOALA GENERALĂ NR. 2",222,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:29:41",1480,1357,2,102,19,857,736,0,102,19,821,36,1500,643,132,484,33,4,7,3,2,16,140
25,ILFOV,"ŞCOALA GENERALĂ NR. 2 CU CLASELE I - IV",134,AFUMAŢI,100834,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:22:42",1767,1700,0,34,33,1136,1072,0,31,33,1094,42,1950,814,115,810,50,6,41,3,1,12,56
25,ILFOV,"ŞCOALA GENERALĂ NR. 3 CU CLASELE I - IV",133,AFUMAŢI,100834,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:42:55",1731,1655,4,37,35,1240,1168,0,37,35,1208,31,1850,610,73,1033,22,0,26,0,0,8,46
25,ILFOV,"ŞCOALA GENERALĂ SNAGOV",267,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:18:19",1993,1904,11,78,0,1225,1147,0,78,0,1161,64,2100,875,152,802,23,4,7,7,3,20,143
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",119,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:01:14",1897,1874,1,15,7,1062,1040,0,15,7,997,65,2100,1038,117,636,71,10,19,15,12,27,90
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",116,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:08",1764,1720,0,31,13,1024,980,0,31,13,976,48,2000,976,136,622,56,9,15,10,5,18,105
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",117,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:57:53",1706,1675,4,24,3,804,777,0,24,3,769,35,1900,1096,117,431,43,7,21,13,5,24,108
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",114,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:16:56",1532,1513,3,13,3,776,760,0,13,3,746,30,1700,924,75,470,57,5,16,4,5,14,100
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",113,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:32",1381,1348,13,15,5,698,678,0,15,5,685,13,1600,902,88,379,32,3,6,12,2,15,148
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",115,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:29",1905,1848,11,34,12,986,940,0,34,12,938,48,2100,1114,110,545,52,9,17,10,11,22,162
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",118,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:37:40",1771,1753,2,8,8,904,888,0,8,8,874,30,2000,1096,129,560,46,6,7,13,7,25,81
25,ILFOV,"ȘCOALA GIMNAZIALĂ ANTON PANN",120,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:04",1792,1764,15,13,0,858,845,0,13,0,838,20,2000,1142,94,478,48,3,18,6,7,16,168
25,ILFOV,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN I.BĂICOIANU”",271,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:03:11",1509,1467,10,31,1,926,894,0,31,1,876,50,1597,671,116,614,37,5,12,13,16,5,58
25,ILFOV,"ŞCOALA GIMNAZIALĂ CU CLASELE I- VIII NR.1 ”PROF. ION VIŞOIU”",40,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:20:35",1094,1091,1,2,0,464,462,0,2,0,424,38,1197,733,52,285,23,3,5,7,4,8,37
25,ILFOV,"ŞCOALA GIMNAZIALĂ CU CLASELE I- VIII NR.1 ”PROF. ION VIŞOIU” -",37,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:10:00",1614,1604,4,6,0,643,637,0,6,0,609,34,1800,1157,135,356,34,5,7,14,4,5,49
25,ILFOV,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII NR.1 ”PROF. ION VIŞOIU”",42,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:30:02",1105,1099,0,6,0,510,504,0,6,0,502,8,1199,689,89,318,27,3,5,0,5,6,49
25,ILFOV,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII NR.1 ”PROF. ION VIŞOIU”",36,"ORAŞ CHITILA",179285,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:39:10",1718,1692,9,15,2,889,870,2,15,2,852,37,1895,1006,82,460,24,3,15,8,4,11,245
25,ILFOV,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII NR.1 ”PROF.ION VIŞOIU”",35,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:48:48",1583,1580,2,1,0,728,727,0,1,0,699,29,1750,1022,104,442,20,6,9,7,7,11,93
25,ILFOV,"SCOALA GIMNAZIALA CU CLASELE I-VIII NR. 1 PROF. ION VISOIU, STRUCTURA CU CLASELE I-IV SI GRUPE DE PRESCOLARI ION OLTEANU-CHITILA",38,"ORAŞ CHITILA",179285,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:26:34",1534,1519,0,14,1,799,784,0,14,1,782,17,1650,851,102,505,20,9,16,4,6,11,109
25,ILFOV,"ŞCOALA GIMNAZIALĂ DASCĂLU",204,DASCĂLU,102473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:56:58",2042,1974,2,64,2,1370,1303,1,64,2,1284,82,2100,734,159,891,70,7,11,10,4,14,118
25,ILFOV,"ȘCOALA GIMNAZIALĂ ”GHEORGHE CORNELIU”",218,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:57",1426,1339,2,84,1,737,652,0,84,1,715,22,1500,763,59,429,24,4,5,13,7,6,168
25,ILFOV,"ȘCOALA GIMNAZIALĂ GHEORGHE CORNELIU",219,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:05:35",1233,1171,2,58,2,649,589,0,58,2,635,14,1300,651,65,469,25,0,2,3,0,9,62
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",91,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:35:42",1945,1840,3,88,14,1302,1200,0,88,14,1263,39,2000,698,317,615,28,1,16,7,4,12,263
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",94,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:42:02",1158,1124,9,23,2,616,591,0,23,2,600,16,1200,584,142,260,14,2,5,0,3,18,156
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",93,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:45:38",1893,1834,7,49,3,1242,1189,1,49,3,1212,29,2000,758,272,676,25,4,12,12,2,14,195
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",92,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:13:50",1458,1402,3,44,9,1085,1032,0,44,9,1052,33,1600,515,339,470,18,2,12,6,3,16,186
25,ILFOV,"SCOALA GIMNAZIALA NR. 1",147,BERCENI,101145,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:50:53",2047,1889,3,120,35,1499,1344,0,120,35,1437,62,2079,580,145,1021,40,12,20,10,4,18,167
25,ILFOV,"SCOALA GIMNAZIALA NR. 1",192,COPĂCENI,179588,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 08:36:17",1022,1014,1,5,2,767,760,0,5,2,727,40,1138,371,108,520,22,0,5,52,0,5,15
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1",146,BERCENI,101145,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:50:42",2000,1805,6,169,20,1364,1175,0,169,20,1312,52,2000,636,122,913,32,5,12,15,0,27,186
25,ILFOV,"ŞCOALA GIMNAZIALA NR.1",148,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:24:40",1031,1029,1,1,0,551,550,0,1,0,518,33,1150,599,51,368,20,0,8,12,5,12,42
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",210,DOBROEŞTI,179310,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:50:14",1637,1589,24,22,2,886,861,1,22,2,836,50,1750,864,91,401,33,7,38,70,9,34,153
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",230,GLINA,179347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:04",1702,1693,1,6,2,996,988,0,6,2,919,77,1900,904,177,661,23,2,6,4,2,10,34
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",209,DOBROEŞTI,179310,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:48:25",1894,1854,15,25,0,898,873,0,25,0,873,25,2000,1102,148,380,28,8,32,57,14,14,192
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",231,GLINA,179347,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:20",1670,1657,5,8,0,870,862,0,8,0,834,36,1850,980,165,506,30,3,10,8,3,17,92
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",193,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:00:09",1001,955,22,21,3,570,545,1,21,3,534,36,1100,530,110,198,17,6,19,10,11,10,153
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",208,DOBROEŞTI,179310,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:01:10",1626,1593,2,28,3,948,917,0,28,3,874,74,1750,802,92,459,33,9,37,56,12,25,151
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1",194,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:25:40",2013,1917,35,58,3,1189,1128,0,58,3,1160,29,2100,911,124,310,32,3,29,24,0,30,608
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",199,CORNETU,102213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:25",1197,1182,2,8,5,587,572,2,8,5,563,23,1302,716,93,352,22,6,7,6,5,13,59
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",155,CERNICA,101742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:58",813,787,0,24,2,544,518,0,24,2,524,20,900,356,49,415,29,2,0,1,3,7,18
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",154,CERNICA,101742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:32",876,813,4,58,1,563,504,0,58,1,532,31,904,341,57,389,24,2,1,2,2,4,51
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",203,CORNETU,102213,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:10",1232,1210,3,4,15,618,599,0,4,15,598,20,1391,773,106,393,21,2,4,8,3,12,49
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",202,CORNETU,102213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:59",1031,1015,1,4,11,532,517,0,4,11,519,13,1100,568,75,333,23,2,5,12,0,11,58
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",156,CERNICA,101742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:45",913,901,0,8,4,564,552,0,8,4,536,28,1000,436,58,438,22,2,0,2,4,2,8
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",201,CORNETU,102213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:34",1028,1008,0,8,12,491,471,0,8,12,472,19,1100,609,90,274,25,2,5,9,2,7,58
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR.1",200,CORNETU,102213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:42:10",954,934,0,7,13,471,451,0,7,13,446,25,1050,579,83,255,35,2,5,6,1,9,50
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR.1",243,JILAVA,179383,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:35:59",1879,1853,1,24,1,1112,1087,0,24,1,1044,68,2100,988,137,710,82,7,11,7,4,19,67
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 BALOTEŞTI",138,BALOTEŞTI,100969,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:51:08",1025,1014,2,6,3,581,572,0,6,3,547,34,1100,519,82,315,21,6,9,4,4,11,95
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 BALOTEŞTI",137,BALOTEŞTI,100969,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:32:27",1272,1251,10,5,6,704,692,1,5,6,666,38,1400,696,90,413,31,3,11,4,6,9,99
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BRAGADIRU",1,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:10",1409,1396,2,11,0,674,663,0,11,0,639,35,1500,826,108,340,54,4,9,9,8,17,90
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BRAGADIRU",2,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 01:41:23",1407,1394,5,8,0,746,738,0,8,0,714,32,1553,807,115,369,77,4,13,11,5,21,99
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BRAGADIRU",4,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:31",1071,1057,3,7,4,561,550,0,7,4,531,30,1200,639,79,303,43,8,11,11,3,14,59
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 1 BRAGADIRU",3,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:10:46",1477,1459,6,10,2,752,740,0,10,2,727,25,1599,847,125,382,46,8,11,8,8,18,121
