precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","STRUGARIU LUCIAN-ARTINEL-voturi","BURCĂ LEVENTE-voturi"
35,SUCEAVA,"CONTAINER MOBIL AMPLASAT ÎN CURTEA ȘCOLII DELENI",425,"PÂRTEŞTII DE JOS",149780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:50",576,561,0,11,4,310,295,0,11,4,289,21,650,340,39,40,96,38,29,36,11
35,SUCEAVA,"LICEUL TEHNOLOGIC ”NICANOR MOROȘAN” PÎRTEȘTII DE JOS",424,"PÂRTEŞTII DE JOS",149780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:38:32",1620,1575,1,11,33,926,882,0,11,33,880,46,1700,774,132,100,254,219,115,9,51
35,SUCEAVA,"ŞCOALA VÂRFU DEALULUI",426,"PÂRTEŞTII DE JOS",149780,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:04:39",150,144,0,5,1,94,88,0,5,1,90,4,188,94,7,8,25,36,7,5,2
