precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA VAMA",330,VAMA,139330,4,PART,PRCNCT,CL,CL_SV,"2024-06-12 01:34:42",1613,1603,0,5,5,805,795,0,5,5,760,45,1712,907,255,3,241,26,102,114,19
32,"SATU MARE","ȘCOALA GIMNAZIALĂ VAMA",329,VAMA,139330,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 01:49:51",1788,1767,3,14,4,918,900,0,14,4,851,67,2000,1082,143,10,286,20,129,232,31
