precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBĂLATĂ GIGI-PARTIDUL NAȚIONAL LIBERAL-voturi","MÎNDREANU BOGDAN-DORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","STRÎMBU COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GRIGORE SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARDALE SANDU-NICU-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL PIATRA",235,PIATRA,153561,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:37:19",702,639,0,56,7,546,483,0,56,7,528,8,750,214,164,9,273,59,23
36,TELEORMAN,"SALA DE PROTOCOL PRIMĂRIA COMUNEI PIATRA",236,PIATRA,153561,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:10",821,767,1,36,17,543,490,0,36,17,525,15,840,300,98,6,333,80,8
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ PIATRA",234,PIATRA,153561,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:44",868,825,0,34,9,641,598,0,34,9,628,13,920,279,103,2,360,136,27
