precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOBOUŢANU DAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GHERMAN PETRE-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ALIC CRISTIAN-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUCA ALEXANDRU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ARION VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICOT”",86,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:35:31",1067,1062,0,5,0,380,375,0,5,0,365,15,1200,820,293,30,21,4,17
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)",63,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:56",1380,1371,1,8,0,393,385,0,8,0,373,20,1600,1207,287,24,35,8,19
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)",61,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:48",1403,1395,0,8,0,468,460,0,8,0,445,23,1600,1132,363,16,49,1,16
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)",62,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:22",1392,1380,0,7,5,399,387,0,7,5,355,9,1568,1136,303,13,24,5,10
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",68,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:22",1205,1199,1,5,0,442,437,0,5,0,429,13,1300,858,370,19,34,1,5
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",66,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:29:20",1399,1391,1,6,1,417,410,0,6,1,404,13,1600,1183,339,25,23,2,15
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",67,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:05",1390,1383,3,4,0,511,507,0,4,0,491,20,1600,1073,417,24,39,4,7
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ŞCOALĂ GENERALĂ NR. 9)",65,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:22",1401,1394,0,7,0,468,461,0,7,0,451,17,1600,1132,381,18,43,1,8
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1 (FOSTA ȘCOALĂ GENERALĂ NR. 9)",64,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:39",1300,1296,0,4,0,383,379,0,4,0,370,13,1400,1017,304,25,24,6,11
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",103,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:24",1249,1242,2,5,0,503,497,1,5,0,489,14,1400,896,399,24,42,8,16
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",101,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:28",1415,1408,0,7,0,576,569,0,7,0,545,11,1600,1044,464,27,35,2,17
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",102,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:58",1180,1173,2,5,0,410,405,0,5,0,399,11,1300,890,344,14,24,5,12
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR. 11)",100,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:19",1201,1191,4,6,0,430,424,0,6,0,417,13,1350,920,349,16,28,8,16
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 (FOSTA ȘCOALĂ GENERALĂ NR.11)",104,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:11:46",665,660,1,4,0,299,295,0,4,0,287,12,800,501,212,28,34,3,10
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",96,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:17:25",1227,1221,1,5,0,509,504,0,5,0,493,16,1300,791,414,32,23,4,20
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",97,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:03",1313,1308,0,5,0,481,476,0,5,0,457,24,1600,1119,390,25,27,3,12
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",95,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:31",1496,1487,0,9,0,603,594,0,9,0,588,15,1600,997,492,42,26,9,19
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 (FOSTA ŞCOALĂ GENERALĂ NR. 2)",94,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:09:43",1418,1410,1,7,0,592,585,0,7,0,579,13,1600,1008,517,20,23,10,9
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR.6 (FOSTA ȘCOALĂ GENERALĂ NR. 6)",80,"MUNICIPIUL HUNEDOARA",86810,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:45:47",1445,1438,2,5,0,556,549,2,5,0,536,17,1600,1047,451,37,20,12,16
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR.6 (FOSTA ȘCOALĂ GENERALĂ NR. 6)",79,"MUNICIPIUL HUNEDOARA",86810,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:40:30",1403,1393,2,6,2,568,560,0,6,2,550,17,1600,1033,447,40,38,6,19
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 7 (FOSTA ȘCOALĂ GENERALĂ NR. 7)",87,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:37",1051,1046,2,3,0,447,444,0,3,0,439,8,1200,753,372,30,20,4,13
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 7 (FOSTA ȘCOALĂ GENERALĂ NR. 7)",89,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:54",1103,1089,5,8,1,436,427,0,8,1,422,14,1200,764,330,39,25,3,25
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 7 (FOSTA ȘCOALĂ GENERALĂ NR. 7)",88,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:27:53",1099,1091,0,8,0,387,379,0,8,0,381,6,1200,813,308,27,18,6,22
22,HUNEDOARA,"ŞCOALA PRIMARĂ PEŞTIŞUL MARE",108,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:54",1007,1002,1,3,1,475,471,0,3,1,451,14,1100,635,374,37,24,6,10
22,HUNEDOARA,"ŞCOALA PRIMARĂ RĂCĂŞTIA",109,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:00:09",528,521,1,5,1,233,227,0,5,1,227,6,600,367,171,26,20,3,7
22,HUNEDOARA,"SEDIUL PRIMĂRIEI MUNICIPIULUI HUNEDOARA (FOSTA B.R.D.)",105,"MUNICIPIUL HUNEDOARA",86810,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:36",1565,1549,6,10,0,628,617,1,10,0,602,26,1700,1072,500,43,25,12,22
