precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TIMIŞ ION-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DANCI SANDA-SORINA-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAN DINU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVAŞCO TIBI-UNIUNEA SALVAȚI ROMÂNIA-voturi","TIMIŞ SORIN-PARTIDUL S.O.S. ROMÂNIA-voturi","TIMIŞ TRAIAN-REMUS-FORȚA DREPTEI-voturi","MIHALI VASILE-SORIN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
26,MARAMUREŞ,"ŞCOALA BIRŢ",144,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:47",1351,1328,0,10,13,552,529,0,10,13,521,31,1400,848,295,106,68,23,22,6,1
26,MARAMUREŞ,"ŞCOALA FÎNTÎNA",145,"ORAŞ BORŞA",106746,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:19:47",1184,1174,3,4,3,470,463,0,4,3,437,33,1300,830,240,144,29,8,10,4,2
26,MARAMUREŞ,"ŞCOALA GÎRLEA",139,"ORAŞ BORŞA",106746,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:54:13",1095,1082,0,5,8,514,501,0,5,8,490,24,1200,686,300,117,57,2,10,4,0
26,MARAMUREŞ,"ŞCOALA NR. 1",131,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:44",1386,1380,0,6,0,580,574,0,6,0,554,26,1600,1020,308,154,31,10,18,28,5
26,MARAMUREŞ,"ŞCOALA NR. 1",130,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:18",1220,1211,0,8,1,412,406,0,5,1,395,17,1300,888,246,88,31,11,15,3,1
26,MARAMUREŞ,"ŞCOALA NR. 7",149,"ORAŞ BORŞA",106746,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:44:46",1342,1334,1,7,0,506,498,1,7,0,484,15,1527,1028,301,66,81,14,13,8,1
26,MARAMUREŞ,"ŞCOALA NR. 7",148,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:39:53",1158,1154,0,4,0,440,436,0,4,0,423,17,1300,860,222,87,78,12,3,18,3
26,MARAMUREŞ,"ŞCOALA NR. 8",132,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:31",1326,1315,2,5,4,552,542,1,5,4,526,26,1400,822,315,88,79,19,17,7,1
26,MARAMUREŞ,"ŞCOALA NR. 8",133,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:06",1353,1347,0,5,1,604,598,0,5,1,584,20,1600,996,323,133,83,16,10,14,5
26,MARAMUREŞ,"ŞCOALA NR. 9",134,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:09:00",1608,1593,2,11,2,618,605,0,11,2,604,14,1700,1082,366,156,40,16,15,6,5
26,MARAMUREŞ,"ŞCOALA NR. 9",135,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:58",1097,1085,2,8,2,427,417,0,8,2,411,16,1200,773,239,85,56,9,10,11,1
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",138,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:11",1069,1025,1,9,34,414,373,0,9,32,392,22,1100,686,206,100,47,13,7,15,4
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",136,"ORAŞ BORŞA",106746,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:52:43",1190,1174,3,10,3,517,504,0,10,3,506,11,1300,783,261,150,56,15,10,12,2
