precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL BREAZA",377,LISA,41346,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:26",563,531,0,8,24,412,380,0,8,24,398,14,615,203,56,68,6,181,52,35
8,BRAŞOV,"CĂMINUL CULTURAL LISA",376,LISA,41346,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:58",925,908,0,6,11,587,570,0,6,11,563,24,1000,413,68,73,174,186,7,55
