precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
18,GALAŢI,"CĂMINUL CULTURAL SUCEVENI",402,SUCEVENI,77288,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:36",928,863,0,11,54,559,494,0,11,54,530,29,954,395,144,20,302,11,53
18,GALAŢI,"SCOALA GIMNAZIALĂ ROGOJENI",403,SUCEVENI,77288,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:48",424,399,0,10,15,257,232,0,10,15,250,7,460,203,41,14,167,4,24
