precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SLOBOZEANU DORU-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","LOVIN MIHAI-SILVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BANDULEA BOGDAN-MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CERVENIA",135,CERVENIA,152500,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:42",1214,1182,4,8,20,740,712,0,8,20,728,12,1335,595,371,337,20
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CERVENIA",136,CERVENIA,152500,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:16",1045,1017,1,10,17,601,574,0,10,17,578,23,1126,525,273,281,24
