precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAGU GEORGE-IONUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SABĂU CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","LENGHEN IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MITITELU LIVIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL SATUL TUTA",612,"TÂRGU TROTUŞ",25825,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:07:27",883,880,0,3,0,500,497,0,3,0,489,11,1000,500,14,308,165,2
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL SATUL TUTA",611,"TÂRGU TROTUŞ",25825,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:58:30",899,895,1,3,0,485,481,1,3,0,477,4,900,419,10,296,169,2
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL SATUL VIIŞOARA",613,"TÂRGU TROTUŞ",25825,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:42:19",857,848,0,5,4,482,473,0,5,4,461,21,900,418,57,287,114,3
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL TG.TROTUŞ",609,"TÂRGU TROTUŞ",25825,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:25",937,932,0,3,2,470,465,0,3,2,468,2,1000,530,15,396,49,8
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL TG.TROTUŞ",610,"TÂRGU TROTUŞ",25825,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:06",879,875,0,2,2,460,456,0,2,2,447,13,1000,540,13,372,46,16
