precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ SFINȚII ÎMPĂRAȚI BALTA DOAMNEI",308,"BALTA DOAMNEI",132226,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:59",1166,1157,2,7,0,753,745,1,7,0,741,12,1241,488,306,76,288,71
31,PRAHOVA,"ȘCOALA PRIMARĂ DIN BÎRA",309,"BALTA DOAMNEI",132226,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:02",714,707,1,6,0,360,354,0,6,0,346,14,800,440,121,80,126,19
