precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEPEDAT FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CUCU ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","KERESZTES DAN-SEBASTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MARAVELA CRIŞAN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PĂLĂCEAN STELIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
15,COVASNA,"CĂMINUL CULTURAL HĂGHIG",151,HĂGHIG,64390,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:13:50",1494,1441,1,20,32,868,816,0,20,32,812,56,1609,741,59,363,145,136,109
15,COVASNA,"CENTRUL DE ZI PENTRU COPII IARĂȘ",152,HĂGHIG,64390,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:48:51",419,393,0,20,6,285,265,0,14,6,263,22,398,113,22,93,118,24,6
