precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMIN CULTURAL",122,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:47",696,692,0,4,0,447,443,0,4,0,435,12,768,321,67,257,103,8
10,BUZĂU,"CĂMIN CULTURAL",124,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:58:52",187,181,0,6,0,122,116,0,6,0,121,1,199,77,11,69,36,5
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL",123,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:27",363,361,0,2,0,194,192,0,2,0,190,4,397,203,32,87,59,12
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL",126,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:51:32",520,515,0,5,0,323,318,0,5,0,313,10,566,243,41,186,84,2
10,BUZĂU,"LICEUL TEHNOLOGIC PĂTÂRLAGELE",119,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:10",1038,1033,3,2,0,561,559,0,2,0,541,20,1139,578,62,275,185,19
10,BUZĂU,"LICEUL TEHNOLOGIC PĂTÂRLAGELE",118,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:57",908,893,2,11,2,517,504,0,11,2,501,16,984,467,71,234,181,15
10,BUZĂU,"ŞCOALA GENERALĂ",120,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:56",561,554,1,6,0,354,348,0,6,0,341,13,610,256,29,247,63,2
10,BUZĂU,"ŞCOALĂ GIMNAZIALĂ",127,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:24:00",1180,1174,0,6,0,670,664,0,6,0,653,17,1299,629,107,326,205,15
10,BUZĂU,"ŞCOALA PRIMARĂ",125,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:43:52",386,378,0,8,0,229,221,0,8,0,222,7,416,187,21,120,76,5
10,BUZĂU,"ŞCOALĂ PRIMARĂ",121,"ORAŞ PĂTÂRLAGELE",48325,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:29",245,238,0,7,0,136,129,0,7,0,132,4,262,126,33,69,25,5
