precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSOMA BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CORDOŞ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIPOŞ EUGEN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIŞE ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULA FLORIAN-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","OROS NECHITA-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"ŞCOALA ”ION CREANGĂ” ,",6,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:33:10",1441,1426,2,12,1,661,648,0,12,1,637,24,1577,916,101,110,41,273,15,97
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",16,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:48",1754,1736,15,3,0,885,882,0,3,0,869,16,1934,1049,75,66,62,349,30,287
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",14,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:45:32",1776,1767,4,5,0,813,808,0,5,0,785,28,1946,1133,94,103,67,326,28,167
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",13,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:52",1454,1440,6,7,1,627,619,0,7,1,611,16,1630,1003,84,62,59,245,21,140
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",15,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:30:33",1293,1276,7,10,0,566,556,0,10,0,543,23,1418,852,65,66,51,206,22,133
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",12,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:09:50",862,858,0,4,0,354,350,0,4,0,348,6,948,594,46,58,30,137,8,69
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",11,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:22:51",833,825,3,5,0,313,308,0,5,0,309,4,920,607,44,36,23,136,6,64
13,CLUJ,"ŞCOALA ”IULIU HAŢIEGANU” (FOSTĂ NR.21)",17,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:15:26",1741,1710,14,17,0,883,864,2,17,0,862,21,1925,1042,84,63,57,308,30,320
13,CLUJ,"ȘCOALA – LICEU „DUMITRU TĂUȚAN”",469,FLOREŞTI,57706,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:29:33",1695,1674,7,14,0,690,676,0,14,0,670,20,1839,1149,61,62,65,271,38,173
13,CLUJ,"ŞCOALA ”LIVIU REBREANU”",81,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:24",1447,1435,0,12,0,603,591,0,12,0,587,16,1474,871,70,74,37,267,31,108
13,CLUJ,"ŞCOALA ”LIVIU REBREANU”",80,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:25:27",1468,1460,1,7,0,668,661,0,7,0,647,21,1630,962,97,83,57,260,31,119
13,CLUJ,"ŞCOALA ”LIVIU REBREANU”",79,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:41:06",1466,1453,6,7,0,648,641,0,7,0,627,21,1630,982,87,80,37,270,14,139
13,CLUJ,"ŞCOALA ” LIVIU REBREANU” ( FOSTA CONSTANTIN BRÂNCOVEANU), ALEEA RETEZAT NR.4",84,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:49:48",1080,1065,5,10,0,508,497,1,10,0,488,20,1198,690,49,53,49,239,23,75
13,CLUJ,"ŞCOALA ” LIVIU REBREANU” ( FOSTA CONSTANTIN BRÂNCOVEANU), ALEEA RETEZAT NR.4",86,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:03",858,854,1,3,0,384,381,0,3,0,366,18,955,571,36,23,53,184,16,54
13,CLUJ,"ŞCOALA ” LIVIU REBREANU” ( FOSTA CONSTANTIN BRÂNCOVEANU), ALEEA RETEZAT NR.4",85,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:33:28",1255,1245,1,9,0,586,577,0,9,0,572,14,1407,821,83,69,49,237,21,113
