precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","LINCĂ MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IONESCU MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR. 1 ISTRIA",462,ISTRIA,62020,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:29",1075,1052,0,11,12,640,617,0,11,12,627,13,1154,514,130,17,480
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR. 2 NUNTAȘI",463,ISTRIA,62020,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:27",869,861,1,3,4,560,553,0,3,4,541,19,948,388,123,13,405
