precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CAŢAONU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SURDULEASA FLORENTIN-MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","POSTOLACHE MUGUR-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
19,GIURGIU,"CREȘA DE COPII CU PROGRAM NORMAL",150,GREACA,103470,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:45:43",1300,1168,0,78,54,947,815,0,78,54,928,19,1351,404,18,696,214
19,GIURGIU,"ŞCOALA PUŢU GRECI",151,GREACA,103470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:45:55",238,219,0,8,11,187,168,0,8,11,182,5,259,72,42,125,15
19,GIURGIU,"ŞCOALA ZBOIU",152,GREACA,103470,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:14",226,198,0,11,17,166,138,0,11,17,163,3,229,63,12,135,16
