precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"CĂMINUL CULTURAL",456,FOCURI,97063,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:13",1476,1464,0,1,11,708,696,0,1,11,641,67,1600,892,114,47,276,20,182,2
24,IAŞI,"GRĂDINIŢA NR. 2, PĂŞCĂNENI",457,FOCURI,97063,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:32",1526,1524,0,0,2,716,714,0,0,2,638,76,1684,970,114,41,188,10,282,3
