precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUMBAR ILEANA-PARTIDUL SOCIAL DEMOCRAT-voturi","TURCSIN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","POP MIHAI-UNIUNEA SALVAȚI ROMÂNIA-voturi"
26,MARAMUREŞ,"CLUBUL TINERETULUI",389,RUSCOVA,108696,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:53",1612,1591,0,2,19,614,593,0,2,19,592,22,1750,1136,55,524,13
26,MARAMUREŞ,"GRĂDINIŢA NR.1",390,RUSCOVA,108696,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:07",1742,1704,0,7,31,689,651,0,7,31,662,27,1850,1161,71,569,22
26,MARAMUREŞ,"ŞCOALA GENERALĂ NR.2",391,RUSCOVA,108696,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:24",1130,1114,0,7,9,388,372,0,7,9,381,7,1262,874,26,285,70
